Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.6387755102040797,6,624,0.4397959183673466,7.01032217704097,3.121269267911954e-07,4.1425114210558265e-05,0.0631501831501831,0.59929408965646
motion_combo,0.6537414965986402,2,208,0.3268707482993201,3.0232009437672094,0.05078809618698461,0.06066232588830938,0.02824808935920052,0.8321433760956277
device_combo * motion_combo,3.5986394557823167,12,1248,0.29988662131519306,8.752843846949336,3.169251738878288e-16,6.800774581109825e-08,0.07762858610316244,0.4103093771977714
