combo,accuracy,mcc
RightHand_LeftHand_linvel_linacc,0.9550425861401471,0.8317162643238782
Head_RightHand_LeftHand_linvel_linacc_angacc,0.9310799434483645,0.7069936208614898
Head_RightHand_LeftHand_linvel_linacc_angvel_angacc,0.940128205128205,0.6880948621142164
RightHand_LeftHand_linvel_linacc_angvel_angacc,0.925946632807098,0.6855402020296535
RightHand_LeftHand_linacc_angacc,0.9221032901032901,0.6829422893380933
RightHand_LeftHand_linacc_angvel_angacc,0.9066666644094825,0.6665759115949067
LeftHand_linvel_linacc_angvel_angacc,0.9034109809857318,0.6509160080894858
RightHand_LeftHand_linvel_linacc_angacc,0.9236011446987057,0.644921853041075
RightHand_LeftHand_linvel_linacc_angvel,0.9132400666059203,0.6447954337818393
Head_RightHand_linvel_linacc_angvel_angacc,0.9125269775269775,0.6375370596425362
RightHand_linacc,0.8960048617191474,0.6224318798356515
RightHand_LeftHand_linacc,0.9146759260100753,0.6124384302208388
RightHand_LeftHand_angvel_angacc,0.8979458933117469,0.612307131057217
Head_RightHand_linvel_linacc,0.9062595182595181,0.6119031967730437
Head_RightHand_LeftHand_linacc_angvel_angacc,0.8968707482993198,0.6101846924431812
Head_RightHand_LeftHand_linvel_linacc,0.9036749555354205,0.6033608759206135
Head_RightHand_LeftHand_linacc_angacc,0.893229217992489,0.5924895807948853
RightHand_linacc_angvel_angacc,0.8980891019281112,0.5851889302772718
Head_LeftHand_linvel_linacc_angvel_angacc,0.8634933973589435,0.5845298995788077
Head_RightHand_linvel_linacc_angacc,0.8993016940385361,0.5549272280149905
Head_RightHand_linacc_angvel_angacc,0.900912039456931,0.5542893401634004
Head_RightHand_linvel_linacc_angvel,0.9181298454982667,0.5494188007644306
RightHand_LeftHand_linvel_angvel_angacc,0.8755105776954515,0.5475779545319488
Head_LeftHand_linacc_angvel_angacc,0.8566637061328597,0.5397281890238953
Head_RightHand_LeftHand_linacc,0.8831833094990991,0.535015183604623
Head_RightHand_linacc_angvel,0.9323211476870015,0.5346695569319447
Head_RightHand_linvel_angvel_angacc,0.884193999137171,0.5340813661187489
Head_RightHand_linvel_angacc,0.8612724577010292,0.533719537045102
Head_RightHand_LeftHand_angvel_angacc,0.8655436062320405,0.5303358914600386
LeftHand_linacc_angvel_angacc,0.8548039698757058,0.5254791001654352
Head_LeftHand_linvel_linacc_angacc,0.8615209864242122,0.5211357506994092
LeftHand_linvel_linacc_angacc,0.9013473603020641,0.5091165912684386
LeftHand_linacc_angacc,0.8620155334861217,0.5083032201045661
Head_RightHand_LeftHand_angacc,0.850033425327543,0.5015255693295193
Head_LeftHand_linvel_angvel_angacc,0.843359536984708,0.49806323088412474
RightHand_angvel_angacc,0.836619615412719,0.4974568574901981
Head_LeftHand_linacc_angacc,0.8366527210720907,0.493301368254901
RightHand_LeftHand_angacc,0.8346404196404196,0.4906010473593514
Head_RightHand_LeftHand_linvel_angvel_angacc,0.9224896435872045,0.48937690902318565
LeftHand_angvel_angacc,0.823983238983239,0.4797872369063952
RightHand_linvel_linacc_angacc,0.9083578610921357,0.47806855986291164
RightHand_linacc_angacc,0.8732140205824415,0.4741245242204196
Head_RightHand_LeftHand_linacc_angvel,0.889186840578519,0.47348154627878863
Head_RightHand_linacc,0.8450525579557837,0.47333709503981397
Head_RightHand_linvel,0.8306870101575985,0.467929615929674
Head_RightHand_linacc_angacc,0.8680821195527078,0.4664872694596345
Head_RightHand_angacc,0.8164590031816921,0.46277714726120356
Head_LeftHand_angvel_angacc,0.8070225163236024,0.4526147690298344
LeftHand_linvel_angvel_angacc,0.8805193458851994,0.4475642604031598
Head_linacc_angvel_angacc,0.884970164970165,0.4464386910055581
LeftHand_linvel_angacc,0.8073969275933864,0.44294452609557167
RightHand_LeftHand_linacc_angvel,0.9088104585473007,0.44232536183407084
Head_RightHand_LeftHand_linvel_angacc,0.8453056572890224,0.438570061466212
RightHand_linacc_angvel,0.9027637275005695,0.4383122371409193
Head_linvel_angacc,0.8337861505204252,0.438174444874579
Head_LeftHand_linvel_linacc_angvel,0.8527823560713926,0.4375765322681727
LeftHand_angacc,0.809274273825998,0.4347267492800029
RightHand_LeftHand_linvel_angacc,0.8654004929004928,0.4332276200544719
Head_linvel_angvel_angacc,0.8342060295908584,0.4331969666970947
RightHand_linvel_linacc_angvel_angacc,0.8983126230494651,0.4318631110008713
Head_linvel_linacc_angvel_angacc,0.8355881320587202,0.43099322297689124
Head_angvel_angacc,0.9132631812631813,0.4256987730374787
LeftHand_linvel_linacc,0.8168894516826205,0.4226729891340277
