A,B,T,dof,p-unc,p-corr
pos,pos_quat,1.3016,104.0,0.1959,0.2759
pos,quat,2.0552,104.0,0.0424,0.1271
pos_quat,quat,1.4951,104.0,0.1379,0.2759
