feature,importance_mean,importance_std
step5_LeftHand_linjerk_magnitude_450_sum,0.012512160894743659,0.0064244549895833706
step4_Head_linjerk_magnitude_450_coeff_of_var,0.01180276728593232,0.0031814811778515524
step5_LeftHand_angvel_magnitude_450_sum,0.011721204691356436,0.006782654782612942
step5_Head_angjerk_magnitude_450_sum,0.011667440141762492,0.008723974693347207
step4_LeftHand_linvel_x_450_sum,0.011454606543197651,0.0033081174341716268
step4_LeftHand_angjerk_y_450_kurtosis,0.011398496198806708,0.0036944793648981664
step8_Head_linjerk_x_450_coeff_of_var,0.011251221510873419,0.004439544066421351
step3_LeftHand_linvel_z_450_kurtosis,0.01124129706162502,0.001515695761938978
step12_Head_linjerk_magnitude_450_coeff_of_var,0.011166841105601597,0.0012678220466883668
step12_LeftHand_linjerk_magnitude_450_coeff_of_var,0.011040127843486413,0.003079835365837644
step12_Head_angjerk_magnitude_450_skewness,0.010962186392351553,0.0047229448894791064
step8_RightHand_angjerk_z_450_kurtosis,0.010896569283000871,0.004202090949231139
step4_LeftHand_angjerk_magnitude_450_coeff_of_var,0.010885816640457116,0.004858973258603637
step12_RightHand_angjerk_magnitude_450_coeff_of_var,0.010724063291897828,0.001387015454077987
step11_Head_linvel_z_450_coeff_of_var,0.01072239433520333,0.005028118084239287
step10_Head_angjerk_y_450_coeff_of_var,0.010678599242709844,0.005556953647184669
step7_RightHand_angvel_y_450_kurtosis,0.010666996526050396,0.0033864795974481473
step8_LeftHand_linjerk_z_450_skewness,0.010666928285007895,0.0013714772281300655
step11_RightHand_linjerk_magnitude_450_skewness,0.010535042028599794,0.0037926577550364965
step11_RightHand_linjerk_magnitude_450_kurtosis,0.010518530574303502,0.0029815784533804
step4_Head_linjerk_x_450_skewness,0.010386024626713319,0.005138864026597129
step2_RightHand_linvel_magnitude_450_skewness,0.010327046442793182,0.0020725053181871833
step3_LeftHand_angvel_magnitude_450_kurtosis,0.010303559023869707,0.0020160711074202796
step1_LeftHand_linvel_magnitude_450_kurtosis,0.010243096025436074,0.0013613471440023525
step4_LeftHand_linjerk_x_450_skewness,0.009860798320501773,0.0032840744418550427
step4_RightHand_linjerk_x_450_skewness,0.009778995079866884,0.001671707997387198
step4_Head_linjerk_magnitude_450_skewness,0.00974134963065618,0.0025580079330331917
step12_RightHand_angvel_magnitude_450_coeff_of_var,0.009712305608033062,0.0011302122343357355
step12_Head_angjerk_magnitude_450_kurtosis,0.009643242545735878,0.003265001119336785
step3_Head_linvel_magnitude_450_kurtosis,0.009608987862019042,0.0017886813139627736
step12_RightHand_linvel_y_450_skewness,0.00953283375947729,0.0016605277810210989
step12_Head_angjerk_y_450_kurtosis,0.00947162211602345,0.0031294157631766933
step7_LeftHand_angvel_z_450_sum,0.009467354662880925,0.002842738010460339
step2_Head_angvel_z_450_coeff_of_var,0.009453920288146057,0.0030113701496303135
step4_Head_linvel_x_450_skewness,0.00940850867739415,0.002030287264606417
step3_Head_angvel_y_450_skewness,0.00936977934240145,0.002585045160260376
step3_Head_linvel_y_450_kurtosis,0.009355997430085828,0.002144108174452793
step12_Head_angjerk_z_450_kurtosis,0.00933560535012294,0.002017888339485652
step4_Head_linjerk_x_450_coeff_of_var,0.009304078992275098,0.00391016165007794
step3_Head_angvel_magnitude_450_kurtosis,0.009221116280450078,0.0019830672904412668
step1_RightHand_angvel_x_450_skewness,0.009211786467804331,0.0014813690374053923
step10_RightHand_linjerk_y_450_coeff_of_var,0.009208696929861322,0.006119679620313795
step0_RightHand_linjerk_x_450_skewness,0.009089095357692412,0.0016870458802080589
step7_LeftHand_linvel_y_450_skewness,0.009076458561970526,0.0020695204316006346
step12_LeftHand_angjerk_magnitude_450_coeff_of_var,0.009011589608282434,0.002772613335280045
step2_LeftHand_angjerk_y_450_sum,0.008978955682047377,0.002280961183367758
step5_LeftHand_linvel_x_450_sum,0.008960917938644706,0.003430350461723614
step1_LeftHand_linvel_x_450_kurtosis,0.008891033113913083,0.0028572838766504783
step1_RightHand_angjerk_z_450_sum,0.008830216049844441,0.0035253200336769117
step12_RightHand_angvel_x_450_skewness,0.008691069451921203,0.0010445311518351248
step12_Head_angjerk_magnitude_450_coeff_of_var,0.008649850080823284,0.0038943467985949826
step7_LeftHand_linjerk_y_450_skewness,0.008616822607444318,0.0021328006668449736
step7_Head_angjerk_magnitude_450_skewness,0.00861091574665682,0.002524481578716606
step12_RightHand_angvel_z_450_kurtosis,0.008511029120824423,0.002986158944676729
step9_LeftHand_linjerk_x_450_skewness,0.008413741326052713,0.001659693544893087
step2_RightHand_linvel_y_450_coeff_of_var,0.00836513418100337,0.002326088466090038
step1_Head_angvel_z_450_kurtosis,0.008350592402833456,0.0017365249459345088
step12_Head_linvel_magnitude_450_sum,0.00834995727098154,0.001200080148691203
step1_RightHand_angvel_magnitude_450_kurtosis,0.008333407718833133,0.0018750696959722805
step7_Head_angjerk_x_450_kurtosis,0.008323529113202952,0.0007331770216508324
step9_LeftHand_linjerk_magnitude_450_skewness,0.008311037124827255,0.00218106281327206
step7_LeftHand_angvel_x_450_skewness,0.008304942631717336,0.0016670277361782997
step3_LeftHand_linvel_y_450_skewness,0.008299265128839836,0.0035082067204731094
step0_RightHand_linvel_magnitude_450_skewness,0.008258947106830901,0.00212070522952213
step9_LeftHand_linvel_x_450_skewness,0.008199302729320377,0.001409182468063369
step1_LeftHand_angjerk_magnitude_450_kurtosis,0.008191726500876958,0.004214440362120493
step1_LeftHand_angjerk_y_450_skewness,0.008129662102743082,0.0024381583752486175
