Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,0.42996273927522716,6,24,0.07166045654587119,0.5695123280730805,0.750460629285089,0.6306906650360757,0.12463306523417092,0.4514190075565564
motion_combo,1.9579734166490628,14,56,0.13985524404636163,0.9417319002898652,0.5219271491016935,0.4466465434539745,0.19056717751819488,0.197011940869893
device_combo * motion_combo,3.1508314223342175,84,336,0.03750989788493116,0.8404058380315358,0.8300208025870779,0.4855951743287803,0.17362301140709854,0.030557353604683167
