Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.730445979671147,6,24,0.45507432994519115,3.3931924728468386,0.014430778636330972,0.08348555852640337,0.4589617388305662,0.342454745002879
motion_combo,3.7985879495024744,14,56,0.27132771067874817,4.002787722425025,9.680202788312455e-05,0.04199729428977468,0.5001741719586796,0.1903286928209536
device_combo * motion_combo,1.0574335427099761,84,336,0.012588494556071144,0.4890379163793658,0.9999300681237058,0.6752625868502449,0.1089404735466791,0.03140463913092864
