Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,1.6335898398547624,6,24,0.2722649733091271,3.179042223793142,0.019344486830623835,0.08433020291067529,0.4428226112470826,0.3855140357496271
motion_combo,2.688624922567281,14,56,0.19204463732623436,3.984705434200782,0.00010184692460832126,0.025678858829698576,0.49904225860770596,0.2528091650066109
device_combo * motion_combo,1.5426263694239104,84,336,0.018364599635998933,0.9898442632945206,0.5097669353447463,0.42752188539950076,0.198371774962167,0.03321820957091
