Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.123392265270711,6,24,0.35389871087845187,3.437617496681713,0.01358839700433421,0.06572361436802775,0.462193370150509,0.41706121193764945
motion_combo,3.3357307257390656,14,56,0.23826648040993326,1.700558569019391,0.08161700943846953,0.2404461864346016,0.29831437541249944,0.14901333408066839
device_combo * motion_combo,2.111857325425142,84,336,0.025141158636013596,0.7859272113562139,0.9075751489071127,0.5212978348893219,0.1642162901038985,0.034474142007383295
