Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,3.382484624688783,6,24,0.5637474374481305,2.690602134637712,0.03845029881149841,0.14459220204198361,0.40214648554698507,0.26929817827869
motion_combo,3.358970504590516,14,56,0.23992646461360828,2.476815801824886,0.008386692439215533,0.12984153187746206,0.38241257395756517,0.17289070722839722
device_combo * motion_combo,1.2849179983469834,84,336,0.015296642837464089,0.40984853009880756,0.9999984773931324,0.7076142904684284,0.09293936680623914,0.028300561047313506
