Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,0.3721100397298459,6,24,0.06201833995497432,0.5944940972251914,0.7316446281310198,0.5395537531225814,0.12939272195043877,0.2566739706710085
motion_combo,1.8317497138925773,14,56,0.13083926527804124,2.494675549779348,0.007950580391786786,0.1298942715773464,0.3841108813917737,0.1694601183172781
device_combo * motion_combo,1.3668871928207662,84,336,0.016272466581199598,0.49419833626885024,0.9999137646204245,0.6545351552528491,0.10996362405294756,0.028181026777823942
