Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,0.6680957988167531,6,24,0.11134929980279218,2.0226867066227063,0.10185730603204969,0.20131766957860195,0.33584458318220445,0.29937924403932
motion_combo,0.8471424881515546,14,56,0.06051017772511104,0.7054142204348142,0.7595610316391164,0.5502156794100163,0.1499154351536832,0.18443802518055052
device_combo * motion_combo,2.6723822676610265,84,336,0.03181407461501222,1.2268935719829754,0.1071060074986278,0.3435576268540537,0.2347271003487292,0.028493120261645254
