Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,1.2615161067050922,6,24,0.2102526844508487,1.3323561012026321,0.28152400749776113,0.31222770305484787,0.24986255154679926,0.45129852998041803
motion_combo,1.3608286875200821,14,56,0.0972020491085773,0.7777066505498171,0.687877492971758,0.48336958590993845,0.16277823387509965,0.1309972890967944
device_combo * motion_combo,1.6833917784316077,84,336,0.020040378314661995,0.5369390321503691,0.9995808565558757,0.6240163633450672,0.11834830231251237,0.027167256161968266
