Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.70603382204176,6,24,0.45100563700696,5.450747875295659,0.0011191957452701593,0.02021918256648791,0.5767530725842305,0.4210822502667043
motion_combo,1.4075062334136468,14,56,0.1005361595295462,1.79221648914338,0.0629680958838742,0.22615319550506174,0.3094180772598218,0.14635962015859183
device_combo * motion_combo,2.1909623897060557,84,336,0.02608288559173876,1.1455249133649166,0.2028386812885138,0.3698119589356526,0.22262547216311124,0.03313075095998424
