Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,0.9359715514100081,6,24,0.15599525856833468,1.795602822014326,0.1425855360353057,0.21075054743936397,0.3098215797662692,0.4376506435628382
motion_combo,2.193803861777297,14,56,0.1567002758412355,1.5510707499687657,0.12332145749519784,0.2554976299588729,0.2794182996095831,0.20126791555964546
device_combo * motion_combo,1.5019968101449956,84,336,0.017880914406488042,0.5264413856181129,0.9997087785809661,0.6627252649356286,0.11630359056250635,0.03356832285200122
