Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,1.4449899418791474,6,24,0.2408316569798579,1.9699369905812842,0.11012653911559765,0.18380608735332973,0.3299761779210126,0.43139372900169787
motion_combo,2.04984650857072,14,56,0.14641760775505142,4.191116721873316,5.7237966842444085e-05,0.027445779220403133,0.5116660968438506,0.22569555408185474
device_combo * motion_combo,2.469958135539166,84,336,0.02940426351832341,0.8509762094071855,0.811743950585486,0.4942741306617958,0.1754237029150838,0.03660401726490005
