Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.564516637610978,6,24,0.42741943960182965,3.276758075019742,0.016912573479720288,0.0979633139173634,0.45030466056972107,0.30739031887735274
motion_combo,1.9247593449417173,14,56,0.1374828103529798,3.345938798295351,0.0006361034390323457,0.04681908416158007,0.45548144221835707,0.2422742278386521
device_combo * motion_combo,2.44775466797616,84,336,0.029139936523525714,1.0259174814996277,0.427394031064409,0.41294120550503316,0.2041254129770383,0.032818201591395944
