Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen
motion_combo,angacc+angvel+linacc,linacc,True,True,-0.8005570552692263,4.0,two-sided,0.4682389247395285,1.0,holm,0.51,-0.3484169204556871
motion_combo,angacc+angvel+linacc,linacc+linvel,True,True,-2.301080616453819,4.0,two-sided,0.08284051060297738,1.0,holm,1.553,-1.0597781231038124
motion_combo,angacc+angvel+linacc,linvel,True,True,10.91563880568149,4.0,two-sided,0.0003999795375829449,0.04199785144620922,holm,73.798,0.6224895608044255
motion_combo,angacc+angvel+linacc+linvel,angacc+angvel+linvel,True,True,4.179673952052363,4.0,two-sided,0.0139219702430924,1.0,holm,5.551,1.202302415458875
motion_combo,angacc+angvel+linacc+linvel,angacc+linacc,True,True,2.9243408045983803,4.0,two-sided,0.04305634751965839,1.0,holm,2.468,0.658195990327776
motion_combo,angacc+angvel+linacc+linvel,angacc+linacc+linvel,True,True,0.9528909698925349,4.0,two-sided,0.39460528501751885,1.0,holm,0.559,0.22006974318428876
motion_combo,angacc+angvel+linacc+linvel,angacc+linvel,True,True,2.8045547955836816,4.0,two-sided,0.04858553823119521,1.0,holm,2.264,1.224633816039418
motion_combo,angacc+angvel+linacc+linvel,angvel,True,True,6.181499145776332,4.0,two-sided,0.0034798754817435998,0.34798754817435995,holm,15.15,1.8337811620368576
motion_combo,angacc+angvel+linacc+linvel,angvel+linacc,True,True,1.540654645992562,4.0,two-sided,0.19824909249768266,1.0,holm,0.855,0.5144373098783925
motion_combo,angacc+angvel+linacc+linvel,angvel+linacc+linvel,True,True,-0.329926282403292,4.0,two-sided,0.758010887842318,1.0,holm,0.416,-0.0945970836684993
motion_combo,angacc+angvel+linacc+linvel,angvel+linvel,True,True,5.600154303381067,4.0,two-sided,0.004991645121679219,0.4742062865595258,holm,11.657,1.6044209591259853
motion_combo,angacc+angvel+linacc+linvel,linacc,True,True,1.2515420872739638,4.0,two-sided,0.2789329224000228,1.0,holm,0.687,0.47436665958254415
motion_combo,angacc+angvel+linacc+linvel,linacc+linvel,True,True,-1.0991221357829977,4.0,two-sided,0.33342385831668814,1.0,holm,0.616,-0.37853795032072607
motion_combo,angacc+angvel+linacc+linvel,linvel,True,True,7.095662375788841,4.0,two-sided,0.0020833197594169544,0.21249861546052934,holm,22.012,1.4946591667317186
motion_combo,angacc+angvel+linvel,angacc+linacc,True,True,-1.4679803104964202,4.0,two-sided,0.21602197805382042,1.0,holm,0.809,-0.5638107710327589
motion_combo,angacc+angvel+linvel,angacc+linacc+linvel,True,True,-3.625441683221493,4.0,two-sided,0.022249570834873975,1.0,holm,3.96,-0.8732919467370464
motion_combo,angacc+angvel+linvel,angacc+linvel,True,True,0.23455702892050365,4.0,two-sided,0.8260698787089011,1.0,holm,0.407,0.08745284800903051
motion_combo,angacc+angvel+linvel,angvel,True,True,1.5457199074245611,4.0,two-sided,0.19706735998379046,1.0,holm,0.859,0.5848882264429981
motion_combo,angacc+angvel+linvel,angvel+linacc,True,True,-1.2367527355393135,4.0,two-sided,0.2838289253842153,1.0,holm,0.68,-0.48524317903687314
motion_combo,angacc+angvel+linvel,angvel+linacc+linvel,True,True,-3.980646262474522,4.0,two-sided,0.01639227896657845,1.0,holm,4.934,-1.191155940970577
motion_combo,angacc+angvel+linvel,angvel+linvel,True,True,0.6233154260095172,4.0,two-sided,0.566857458632452,1.0,holm,0.464,0.11460228809005418
motion_combo,angacc+angvel+linvel,linacc,True,True,-1.7534531198695233,4.0,two-sided,0.15439233555024498,1.0,holm,1.011,-0.8885343708122718
motion_combo,angacc+angvel+linvel,linacc+linvel,True,True,-3.211484300992175,4.0,two-sided,0.03254292575628399,1.0,holm,3.015,-1.5566710188924386
motion_combo,angacc+angvel+linvel,linvel,True,True,0.191976469999269,4.0,two-sided,0.8571125702927407,1.0,holm,0.404,0.06504092078655786
motion_combo,angacc+linacc,angacc+linacc+linvel,True,True,-1.44321197383376,4.0,two-sided,0.22244090495555466,1.0,holm,0.793,-0.36038885635273527
motion_combo,angacc+linacc,angacc+linvel,True,True,1.3160870844056183,4.0,two-sided,0.2584980427187322,1.0,holm,0.721,0.626770233260473
motion_combo,angacc+linacc,angvel,True,True,7.704096817673607,4.0,two-sided,0.001527539904188483,0.15733661013141376,holm,27.609,1.1722788836828286
motion_combo,angacc+linacc,angvel+linacc,True,True,-0.02117918807831651,4.0,two-sided,0.9841170931562533,1.0,holm,0.397,-0.005058858128479794
motion_combo,angacc+linacc,angvel+linacc+linvel,True,True,-2.082325747825088,4.0,two-sided,0.10574433157263687,1.0,holm,1.31,-0.6818321335220033
motion_combo,angacc+linacc,angvel+linvel,True,True,1.858540279953824,4.0,two-sided,0.13663117293520236,1.0,holm,1.098,0.7831743077484848
motion_combo,angacc+linacc,linacc,True,True,-0.8074815498481435,4.0,two-sided,0.4646678674412933,1.0,holm,0.512,-0.2859999179056321
motion_combo,angacc+linacc,linacc+linvel,True,True,-2.732173293117435,4.0,two-sided,0.05232562151383893,1.0,holm,2.148,-1.031149492091514
motion_combo,angacc+linacc,linvel,True,True,3.348404916233942,4.0,two-sided,0.028611228025406697,1.0,holm,3.306,0.7121764020034941
motion_combo,angacc+linacc+linvel,angacc+linvel,True,True,2.825636235173817,4.0,two-sided,0.04755515341250854,1.0,holm,2.299,0.9190650690223843
motion_combo,angacc+linacc+linvel,angvel,True,True,5.661200379727658,4.0,two-sided,0.004799287219218657,0.47033014748342844,holm,11.995,1.4523090238012417
motion_combo,angacc+linacc+linvel,angvel+linacc,True,True,0.8716057711626528,4.0,two-sided,0.43261428925841333,1.0,holm,0.531,0.29651831489127506
motion_combo,angacc+linacc+linvel,angvel+linacc+linvel,True,True,-1.142740374113567,4.0,two-sided,0.31689806016937166,1.0,holm,0.635,-0.28085569314414605
motion_combo,angacc+linacc+linvel,angvel+linvel,True,True,5.128780132155745,4.0,two-sided,0.006844295172349104,0.6296751558561176,holm,9.273,1.12665375595158
motion_combo,angacc+linacc+linvel,linacc,True,True,0.2919589107560806,4.0,two-sided,0.7848342794694225,1.0,holm,0.412,0.1458929081310753
motion_combo,angacc+linacc+linvel,linacc+linvel,True,True,-1.1257828724654637,4.0,two-sided,0.32323159012228075,1.0,holm,0.628,-0.5248318243282389
motion_combo,angacc+linacc+linvel,linvel,True,True,3.6770094707923273,4.0,two-sided,0.021259734316461457,1.0,holm,4.092,1.0518354783626076
motion_combo,angacc+linvel,angvel,True,True,1.1758904625340167,4.0,two-sided,0.30484655003494554,1.0,holm,0.65,0.4744120941525413
motion_combo,angacc+linvel,angvel+linacc,True,True,-1.3141201968375524,4.0,two-sided,0.2590988006224051,1.0,holm,0.72,-0.5468371811040617
motion_combo,angacc+linvel,angvel+linacc+linvel,True,True,-2.3588904410919365,4.0,two-sided,0.07775698212948517,1.0,holm,1.624,-1.2177886370389923
motion_combo,angacc+linvel,angvel+linvel,True,True,0.03019103435155423,4.0,two-sided,0.9773610230646708,1.0,holm,0.398,0.010125414585088675
motion_combo,angacc+linvel,linacc,True,True,-1.3692296794104784,4.0,two-sided,0.24277181642910886,1.0,holm,0.75,-0.9316106211127074
motion_combo,angacc+linvel,linacc+linvel,True,True,-2.4154024250536086,4.0,two-sided,0.07312585521464685,1.0,holm,1.695,-1.5465562098326797
motion_combo,angacc+linvel,linvel,True,True,-0.08968055194933343,4.0,two-sided,0.9328520462698157,1.0,holm,0.399,-0.03472982005624606
motion_combo,angvel,angvel+linacc,True,True,-7.839029660539932,4.0,two-sided,0.0014301970905741435,0.14874049741971093,holm,28.97,-1.0156264118029403
motion_combo,angvel,angvel+linacc+linvel,True,True,-4.42593493438573,4.0,two-sided,0.011458041083666997,1.0,holm,6.388,-1.786929054483687
motion_combo,angvel,angvel+linvel,True,True,-1.271306384394158,4.0,two-sided,0.27251583364485155,1.0,holm,0.697,-0.5454502625340724
motion_combo,angvel,linacc,True,True,-3.45385301004784,4.0,two-sided,0.02596296047973341,1.0,holm,3.545,-1.5488877058354915
motion_combo,angvel,linacc+linvel,True,True,-4.694642656490869,4.0,two-sided,0.009345475079523841,0.8410927571571457,holm,7.402,-2.2064533774065147
motion_combo,angvel,linvel,True,True,-3.0015115913510364,4.0,two-sided,0.03988248291600887,1.0,holm,2.607,-0.5814908991152831
motion_combo,angvel+linacc,angvel+linacc+linvel,True,True,-1.1539231620813268,4.0,two-sided,0.3127841374287028,1.0,holm,0.64,-0.5514623138879888
motion_combo,angvel+linacc,angvel+linvel,True,True,1.3780474807694516,4.0,two-sided,0.24025495365439783,1.0,holm,0.755,0.6429722238951097
motion_combo,angvel+linacc,linacc,True,True,-0.47114964173390184,4.0,two-sided,0.6620806580775036,1.0,holm,0.435,-0.21776671596488253
motion_combo,angvel+linacc,linacc+linvel,True,True,-1.563555456336999,4.0,two-sided,0.19296350347529792,1.0,holm,0.871,-0.7755188870270661
motion_combo,angvel+linacc,linvel,True,True,3.3203815921724424,4.0,two-sided,0.029368063922074458,1.0,holm,3.245,0.5896004526805915
motion_combo,angvel+linacc+linvel,angvel+linvel,True,True,5.414306748813164,4.0,two-sided,0.005638294038511311,0.5243613455815519,holm,10.672,1.5327301491151168
motion_combo,angvel+linacc+linvel,linacc,True,True,1.2572772080463397,4.0,two-sided,0.2770560885364289,1.0,holm,0.69,0.5110735534835319
motion_combo,angvel+linacc+linvel,linacc+linvel,True,True,-0.5874582769910708,4.0,two-sided,0.5884569750433556,1.0,holm,0.457,-0.21398049565746255
motion_combo,angvel+linacc+linvel,linvel,True,True,3.3216537861879534,4.0,two-sided,0.02933319584724344,1.0,holm,3.247,1.4392688054325329
motion_combo,angvel+linvel,linacc,True,True,-2.1863933185454014,4.0,two-sided,0.0940701448335989,1.0,holm,1.421,-1.2413037672365028
motion_combo,angvel+linvel,linacc+linvel,True,True,-4.179904605313691,4.0,two-sided,0.01391937869992492,1.0,holm,5.551,-2.1309993079725738
motion_combo,angvel+linvel,linvel,True,True,-0.14306392145176342,4.0,two-sided,0.8931571345463304,1.0,holm,0.401,-0.05544101852426037
motion_combo,linacc,linacc+linvel,True,True,-5.6413626795505945,4.0,two-sided,0.0048607841871052245,0.47149606614920675,holm,11.884,-0.9651864581435425
motion_combo,linacc,linvel,True,True,2.5836953742962447,4.0,two-sided,0.061088718592346214,1.0,holm,1.925,1.1382098792644857
motion_combo,linacc+linvel,linvel,True,True,4.360858042647657,4.0,two-sided,0.012054028496817627,1.0,holm,6.159,1.9815370590532122
