Contrast,A,B,Paired,Parametric,T,dof,alternative,p-unc,p-corr,p-adjust,BF10,cohen
motion_combo,angacc,angacc+angvel,True,True,-0.9705126074287208,4.0,two-sided,0.38674800375611657,1.0,holm,0.565,-0.2381851536229445
motion_combo,angacc,angacc+angvel+linacc,True,True,-2.6033059901752282,4.0,two-sided,0.05983962750579086,1.0,holm,1.953,-0.6998305910212547
motion_combo,angacc,angacc+angvel+linacc+linvel,True,True,-3.6090345498462537,4.0,two-sided,0.02257597079961329,1.0,holm,3.919,-1.4923111759594865
motion_combo,angacc,angacc+angvel+linvel,True,True,-1.0257502229989326,4.0,two-sided,0.3629875859254984,1.0,holm,0.586,-0.4415504164322796
motion_combo,angacc,angacc+linacc,True,True,-1.6056767912629493,4.0,two-sided,0.1836173124867589,1.0,holm,0.9,-0.4594887100955288
motion_combo,angacc,angacc+linacc+linvel,True,True,-3.128746259338141,4.0,two-sided,0.035227842574028494,1.0,holm,2.848,-1.3667220434490646
motion_combo,angacc,angacc+linvel,True,True,-1.3561913982911653,4.0,two-sided,0.2465410272530501,1.0,holm,0.743,-0.5001353285974293
motion_combo,angacc,angvel,True,True,0.546649059129237,4.0,two-sided,0.613683299915344,1.0,holm,0.449,0.2721824616428185
motion_combo,angacc,angvel+linacc,True,True,-2.6012516971497526,4.0,two-sided,0.05996909104904219,1.0,holm,1.95,-1.016849352482277
motion_combo,angacc,angvel+linacc+linvel,True,True,-2.5915116244505554,4.0,two-sided,0.060587312931794604,1.0,holm,1.936,-1.6014575180223538
motion_combo,angacc,angvel+linvel,True,True,-0.1700899198720378,4.0,two-sided,0.8731956409743857,1.0,holm,0.402,-0.10183744803865655
motion_combo,angacc,linacc,True,True,-0.34147153571169797,4.0,two-sided,0.7499330262449693,1.0,holm,0.417,-0.2029915363050991
motion_combo,angacc,linacc+linvel,True,True,-0.690107786103122,4.0,two-sided,0.5280791893387644,1.0,holm,0.48,-0.39139544759872524
motion_combo,angacc,linvel,True,True,-0.1287285986475609,4.0,two-sided,0.9037854151158818,1.0,holm,0.4,-0.0871908992609539
motion_combo,angacc+angvel,angacc+angvel+linacc,True,True,-1.1298692869133418,4.0,two-sided,0.3216947911458964,1.0,holm,0.63,-0.34798857520253534
motion_combo,angacc+angvel,angacc+angvel+linacc+linvel,True,True,-1.8551244644959726,4.0,two-sided,0.13717271486381485,1.0,holm,1.095,-0.8455990190815638
motion_combo,angacc+angvel,angacc+angvel+linvel,True,True,-0.35966838613113866,4.0,two-sided,0.737279985734569,1.0,holm,0.419,-0.15311286892936482
motion_combo,angacc+angvel,angacc+linacc,True,True,-0.45740176769905805,4.0,two-sided,0.6711235652419856,1.0,holm,0.433,-0.15599474167911004
motion_combo,angacc+angvel,angacc+linacc+linvel,True,True,-1.4556831833920219,4.0,two-sided,0.21918524819725224,1.0,holm,0.801,-0.7827254486377948
motion_combo,angacc+angvel,angacc+linvel,True,True,-0.24284065563149737,4.0,two-sided,0.8200730177305127,1.0,holm,0.407,-0.11680702077325454
motion_combo,angacc+angvel,angvel,True,True,0.9283170177359522,4.0,two-sided,0.4057890113646139,1.0,holm,0.55,0.4701540398477202
motion_combo,angacc+angvel,angvel+linacc,True,True,-1.01421630326127,4.0,two-sided,0.3678408517168866,1.0,holm,0.582,-0.498248622275335
motion_combo,angacc+angvel,angvel+linacc+linvel,True,True,-1.4178886550529204,4.0,two-sided,0.22920157111773037,1.0,holm,0.778,-0.9145769787091308
motion_combo,angacc+angvel,angvel+linvel,True,True,0.222591929407161,4.0,two-sided,0.8347571836167897,1.0,holm,0.406,0.14477367424539617
motion_combo,angacc+angvel,linacc,True,True,-0.005475953220483162,4.0,two-sided,0.9958930607410422,1.0,holm,0.397,-0.003461281061966402
motion_combo,angacc+angvel,linacc+linvel,True,True,-0.21556110511102697,4.0,two-sided,0.8398753769112736,1.0,holm,0.405,-0.13768650228955306
motion_combo,angacc+angvel,linvel,True,True,0.15788740660092065,4.0,two-sided,0.8821954296102504,1.0,holm,0.402,0.11280732427722533
motion_combo,angacc+angvel+linacc,angacc+angvel+linacc+linvel,True,True,-1.802614795846357,4.0,two-sided,0.14579416237867257,1.0,holm,1.051,-0.5405086110555577
motion_combo,angacc+angvel+linacc,angacc+angvel+linvel,True,True,0.8068988032664761,4.0,two-sided,0.4649675733783201,1.0,holm,0.511,0.20328271482949772
motion_combo,angacc+angvel+linacc,angacc+linacc,True,True,2.83895747931823,4.0,two-sided,0.04691714315823805,1.0,holm,2.322,0.21428470082337012
motion_combo,angacc+angvel+linacc,angacc+linacc+linvel,True,True,-1.4737987711301095,4.0,two-sided,0.21454134057047758,1.0,holm,0.812,-0.4702186319708637
motion_combo,angacc+angvel+linacc,angacc+linvel,True,True,1.066540446158132,4.0,two-sided,0.34627493559813466,1.0,holm,0.603,0.3464505490046491
motion_combo,angacc+angvel+linacc,angvel,True,True,1.985504079444155,4.0,two-sided,0.11805594715598564,1.0,holm,1.214,1.047727180184391
motion_combo,angacc+angvel+linacc,angvel+linacc,True,True,-0.38870632726054927,4.0,two-sided,0.7172971139582012,1.0,holm,0.423,-0.11404431038070803
motion_combo,angacc+angvel+linacc,angvel+linacc+linvel,True,True,-1.2950766650097245,4.0,two-sided,0.2649858996514899,1.0,holm,0.709,-0.6243093013836073
motion_combo,angacc+angvel+linacc,angvel+linvel,True,True,1.2346329092215789,4.0,two-sided,0.284537360945619,1.0,holm,0.679,0.5667671041350382
motion_combo,angacc+angvel+linacc,linacc,True,True,0.6739117391638392,4.0,two-sided,0.5373055787548443,1.0,holm,0.476,0.29006046510137273
motion_combo,angacc+angvel+linacc,linacc+linvel,True,True,0.44325110233888293,4.0,two-sided,0.6805022084667661,1.0,holm,0.431,0.18737096572514234
motion_combo,angacc+angvel+linacc,linvel,True,True,0.7827158883151186,4.0,two-sided,0.47753840271510223,1.0,holm,0.504,0.4393721618421832
motion_combo,angacc+angvel+linacc+linvel,angacc+angvel+linvel,True,True,2.0964007094172805,4.0,two-sided,0.10407538535629766,1.0,holm,1.324,0.7382162178132856
motion_combo,angacc+angvel+linacc+linvel,angacc+linacc,True,True,2.4978428976833005,4.0,two-sided,0.0669206593877202,1.0,holm,1.805,0.7894181304177917
