Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.1360714470362683,6,24,0.35601190783937803,2.0032413218933955,0.10482977208667446,0.2178474384077627,0.3336932857567655,0.22902129121276638
motion_combo,1.8294918985967732,14,56,0.13067799275691236,2.6568052614484072,0.00489602643001558,0.1063665627423766,0.3991111587467907,0.18984684925007397
device_combo * motion_combo,2.0780307366306383,84,336,0.02473846115036474,0.9739752625597422,0.5468414686516547,0.4227265429483157,0.1958142554288676,0.02608678871126546
