Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.046188291180637,6,24,0.34103138186343945,4.098739082324764,0.005700368215267114,0.04021590555557971,0.506095954031922,0.4393627182317902
motion_combo,3.24139249487859,14,56,0.23152803534847072,2.2053465953999147,0.018841402082354228,0.15402071470781195,0.35539458779542793,0.1818553996267823
device_combo * motion_combo,2.505295844517521,84,336,0.02982495052997049,0.8096195312900075,0.8773596667087266,0.5065064043518404,0.16833338396579078,0.033226038290931834
