Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,1.1836337476409926,6,24,0.19727229127349877,2.323129642204956,0.06545719175070784,0.1856694226036283,0.3674018680083319,0.22901030463795952
motion_combo,2.242314982958533,14,56,0.16016535592560951,1.6366582745932792,0.09753523865330693,0.2529181103351796,0.29035967675570584,0.14526360855168688
device_combo * motion_combo,1.5507789082029078,84,336,0.018461653669082236,0.6932567346925468,0.9776644784156847,0.5572989625810267,0.14771336278452316,0.03097865187814786
