Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,0.8784120096341481,6,24,0.14640200160569136,1.7260362576574504,0.15806231151413358,0.2380202235330821,0.3014364876487143,0.3341369376087684
motion_combo,2.7470178723677683,14,56,0.19621556231198345,4.672357807545821,1.5419245301575828e-05,0.03432676278771849,0.5387644180779074,0.1697834581522662
device_combo * motion_combo,1.003415638843757,84,336,0.011945424271949487,0.7282108564523192,0.9593006440935725,0.5409248380331122,0.15401404010114553,0.031374201728468984
