feature_key,specificity_A,specificity_B,sensitivity_A,sensitivity_B,mcc_A,mcc_B
Head_angular_acceleration_x_min,1.0,0.1818181818181818,0.0105263157894736,0.925531914893617,0.0318142381487888,0.1174372406025246
LeftHand_euler_x_max,0.9,0.4545454545454545,0.231578947368421,0.4148936170212766,0.0933850522605834,-0.0807963267832359
Head_angular_velocity_x_mean,0.9,0.0,0.0947368421052631,0.9893617021276596,-0.0052631578947368,-0.0335440692619633
Head_position_y_std,0.9,0.0,0.0631578947368421,1.0,-0.043355498476206,0.0
RightHand_euler_x_std,0.7,0.0909090909090909,0.0947368421052631,0.9148936170212766,-0.1893828776931211,0.0063479589514878
Head_position_y_mean,0.4,0.0,0.7578947368421053,0.9680851063829788,0.1060474604959629,-0.0586668752603717
Head_position_x_max,0.4,0.0,0.6842105263157895,1.0,0.0528274383012689,0.0
LeftHand_position_y_max,0.4,0.0,0.4210526315789473,0.9680851063829788,-0.1058722632264923,-0.0586668752603717
RightHand_position_x_mean,0.4,0.0,0.5052631578947369,1.0,-0.0556414884074657,0.0
LeftHand_velocity_x_min,0.3,0.0909090909090909,0.9052631578947368,0.9680851063829788,0.1893828776931211,0.0943797631388171
LeftHand_velocity_z_max,0.3,0.0909090909090909,0.631578947368421,1.0,-0.0417948099113675,0.2866493191476864
RightHand_velocity_x_min,0.3,0.0,0.936842105263158,1.0,0.2483498169496957,0.0
RightHand_velocity_z_median,0.3,0.0,0.8736842105263158,1.0,0.1456985592771548,0.0
LeftHand_angular_acceleration_z_max,0.2,0.7272727272727273,0.9263157894736842,0.3829787234042553,0.1324532357065043,0.0698779749417816
Head_angular_velocity_x_std,0.2,0.4545454545454545,0.9578947368421052,0.5212765957446809,0.1996807659577179,-0.0148256380239418
RightHand_velocity_x_std,0.2,0.1818181818181818,0.9473684210526316,0.9680851063829788,0.173421993904824,0.2155690593344967
Head_angular_acceleration_x_max,0.2,0.0909090909090909,0.8315789473684211,0.946808510638298,0.024595948397164,0.0497635226084761
Head_angular_velocity_y_std,0.2,0.0909090909090909,0.8947368421052632,0.9787234042553192,0.0874074820122097,0.1280004551135383
LeftHand_angular_acceleration_x_std,0.2,0.0909090909090909,0.9578947368421052,0.9148936170212766,0.1996807659577179,0.0063479589514878
LeftHand_position_z_median,0.2,0.0909090909090909,0.7578947368421053,1.0,-0.0290190500044004,0.2866493191476864
LeftHand_velocity_y_median,0.2,0.0909090909090909,0.5578947368421052,0.9787234042553192,-0.1440372355793863,0.1280004551135383
LeftHand_velocity_y_max,0.2,0.0909090909090909,0.9473684210526316,0.9574468085106383,0.173421993904824,0.0695384062369344
RightHand_angular_velocity_x_max,0.2,0.0909090909090909,0.9578947368421052,0.9148936170212766,0.1996807659577179,0.0063479589514878
RightHand_angular_velocity_y_max,0.2,0.0909090909090909,0.9263157894736842,0.9787234042553192,0.1324532357065043,0.1280004551135383
RightHand_position_z_min,0.2,0.0909090909090909,0.8631578947368421,0.9787234042553192,0.0529812942826017,0.1280004551135383
A_Build_Time,0.2,0.0,0.9578947368421052,0.0,0.1996807659577179,0.0
Head_angular_acceleration_z_median,0.2,0.0,0.9578947368421052,0.9361702127659576,0.1996807659577179,-0.0842151921066519
Head_euler_y_median,0.2,0.0,0.9157894736842104,1.0,0.1157894736842105,0.0
Head_position_y_max,0.2,0.0,0.8947368421052632,0.9361702127659576,0.0874074820122097,-0.0842151921066519
Head_velocity_x_min,0.2,0.0,0.9578947368421052,1.0,0.1996807659577179,0.0
Head_velocity_z_std,0.2,0.0,0.8315789473684211,0.9361702127659576,0.024595948397164,-0.0842151921066519
LeftHand_angular_velocity_x_min,0.2,0.0,0.9578947368421052,1.0,0.1996807659577179,0.0
LeftHand_angular_velocity_z_mean,0.2,0.0,0.9263157894736842,0.9893617021276596,0.1324532357065043,-0.0335440692619633
LeftHand_euler_x_mean,0.2,0.0,0.9263157894736842,0.9574468085106383,0.1324532357065043,-0.068077206198491
LeftHand_velocity_y_min,0.2,0.0,0.7894736842105263,0.8936170212765957,-0.0075925526250425,-0.1109866168298752
RightHand_angular_acceleration_x_std,0.2,0.0,0.9473684210526316,0.9680851063829788,0.173421993904824,-0.0586668752603717
RightHand_angular_acceleration_y_std,0.2,0.0,0.9052631578947368,0.9893617021276596,0.1008969243907956,-0.0335440692619633
RightHand_angular_velocity_z_max,0.2,0.0,0.8421052631578947,1.0,0.033553079968086,0.0
RightHand_euler_z_min,0.2,0.0,0.8,1.0,0.0,0.0
RightHand_velocity_y_min,0.2,0.0,0.9578947368421052,0.9574468085106383,0.1996807659577179,-0.068077206198491
Head_euler_z_std,0.1,0.1818181818181818,0.9473684210526316,0.8617021276595744,0.0599042297873153,0.0380877537089269
Head_position_z_max,0.1,0.1818181818181818,0.9473684210526316,0.9893617021276596,0.0599042297873153,0.3146677854874485
RightHand_position_y_max,0.1,0.1818181818181818,0.9473684210526316,0.6382978723404256,0.0599042297873153,-0.1160584801893959
Head_angular_acceleration_x_mean,0.1,0.0909090909090909,0.936842105263158,0.9787234042553192,0.043355498476206,0.1280004551135383
Head_euler_y_mean,0.1,0.0909090909090909,0.968421052631579,0.9574468085106383,0.1049206255979864,0.0695384062369344
Head_position_x_median,0.1,0.0909090909090909,0.8842105263157894,0.8191489361702128,-0.0145679136687016,-0.0730847558222956
LeftHand_angular_acceleration_x_mean,0.1,0.0909090909090909,1.0,0.9787234042553192,0.3022352624134944,0.1280004551135383
LeftHand_angular_acceleration_y_max,0.1,0.0909090909090909,0.9789473684210528,0.946808510638298,0.1391037210186643,0.0497635226084761
LeftHand_euler_y_median,0.1,0.0909090909090909,0.9473684210526316,0.946808510638298,0.0599042297873153,0.0497635226084761
LeftHand_velocity_x_mean,0.1,0.0909090909090909,0.968421052631579,0.8723404255319149,0.1049206255979864,-0.0341710038538928
RightHand_angular_acceleration_z_std,0.1,0.0909090909090909,0.9157894736842104,0.946808510638298,0.016556654463313,0.0497635226084761
RightHand_angular_velocity_x_std,0.1,0.0909090909090909,0.8210526315789474,0.7659574468085106,-0.0614898709929102,-0.1059816317390097
RightHand_velocity_x_max,0.1,0.0909090909090909,0.9789473684210528,1.0,0.1391037210186643,0.2866493191476864
