feature_key,specificity_A,specificity_B,sensitivity_A,sensitivity_B,mcc_A,mcc_B
Head_euler_z_std_LeftHand_euler_x_max_LeftHand_euler_z_mean,0.3,0.1818181818181818,0.7368421052631579,0.9148936170212766,0.0244557994022259,0.1008969243907956
Head_euler_z_std_LeftHand_euler_x_max_RightHand_euler_z_std,0.2,0.8181818181818182,0.9052631578947368,0.425531914893617,0.1008969243907956,0.1523510148357076
A_Build_Time_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.7272727272727273,0.9052631578947368,0.5851063829787234,0.1008969243907956,0.1923885968497244
Head_euler_z_std_LeftHand_euler_x_max_RightHand_velocity_y_min,0.2,0.7272727272727273,0.9052631578947368,0.648936170212766,0.1008969243907956,0.2361605853521674
Head_euler_z_std_LeftHand_euler_x_max_LeftHand_velocity_z_mean,0.2,0.5454545454545454,0.9052631578947368,0.4148936170212766,0.1008969243907956,-0.0246111740407567
Head_euler_z_std_Head_velocity_z_max_LeftHand_euler_x_max,0.2,0.3636363636363636,0.9052631578947368,0.776595744680851,0.1008969243907956,0.1008306890435549
Head_euler_z_std_LeftHand_euler_x_max_RightHand_angular_acceleration_y_mean,0.2,0.2727272727272727,0.9052631578947368,0.7872340425531915,0.1008969243907956,0.0443977105933689
Head_angular_acceleration_x_min_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_x_median_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_x_max_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_y_mean_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_x_std_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_x_mean_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_x_median_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_z_median_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_z_mean_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_z_min_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_acceleration_z_std_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_x_mean_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_x_min_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_x_std_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_z_median_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.936842105263158,0.9148936170212766,0.1514086506444134,0.1008969243907956
Head_angular_velocity_y_max_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_y_min_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.936842105263158,0.9148936170212766,0.1514086506444134,0.1008969243907956
Head_angular_velocity_z_mean_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_z_max_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_angular_velocity_z_std_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_euler_x_median_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_euler_x_mean_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_euler_x_min_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_euler_x_max_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
Head_euler_y_std_Head_euler_z_std_LeftHand_euler_x_max,0.2,0.1818181818181818,0.9052631578947368,0.9148936170212766,0.1008969243907956,0.1008969243907956
