Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,1.6889502353809167,6,24,0.28149170589681943,2.4947701331146215,0.05098145667502849,0.14290917699006261,0.38411985058480175,0.3374001941979693
motion_combo,3.426754658646623,14,56,0.2447681899033302,2.007429622976764,0.03378186711335531,0.19024288940258663,0.3341578260524099,0.1570093008479309
device_combo * motion_combo,3.372903595842885,84,336,0.04015361423622482,1.323439954950994,0.044437132281695546,0.31546362735498973,0.24860615807644199,0.031005132263626094
