Source,SS,ddof1,ddof2,MS,F,p-unc,p-GG-corr,np2,eps
device_combo,2.072393787912538,6,24,0.34539896465208964,3.0281829811778445,0.02385248284482695,0.08906871020017129,0.4308628544942003,0.40285722061766
motion_combo,2.2936312578980815,14,56,0.16383080413557724,2.063987947811222,0.02861446690482492,0.18894887733930285,0.34036808212262565,0.14365657259833578
device_combo * motion_combo,2.8702802221517056,84,336,0.03417000264466316,0.9278736908315315,0.6537621259867124,0.4529369654783615,0.18829088346113063,0.03311566333715687
