,sum_sq,df,F,PR(>F),eta_sq
C(device_combo),0.8654644692112755,6.0,1.7124193571264203,0.11651723596462885,0.010900445651755013
C(motion_combo),2.152246195701851,14.0,1.8250553866577732,0.03306561193493534,0.02710734353638427
C(device_combo):C(motion_combo),5.622821509028868,84.0,0.7946706022574617,0.9007286022172631,0.07081892145675825
Residual,35.37831582705985,420.0,,,0.44558664467755127
