,0,1,2,3,4,5,6,7,8,9,10,11,12
13,step0_Head_linvel_y_201_pause_0.5_durations_median,step1_LeftHand_angacc_z_13_pause_1.25_durations_iqr,step2_RightHand_angacc_y_531_pause_0.75_durations_min,step3_LeftHand_linacc_x_13_pause_0.75_durations_skewness,step4_LeftHand_angvel_magnitude_13_pause_1_durations_max,step5_Head_linvel_y_201_pause_1_time_to_min_duration,step6_LeftHand_angacc_z_531_pause_1_durations_coeff_of_var,step7_RightHand_angacc_z_531_pause_0.5_durations_iqr,step8_Head_linacc_y_51_pause_1.25_durations_min,,step10_RightHand_angacc_magnitude_13_pause_1.25_durations_slope,step11_Head_angacc_z_13_pause_1_durations_coeff_of_var,substep36_Head_angvel_x_7_pause_0.75_durations_kurtosis
14,step0_Head_linvel_y_201_pause_0.5_durations_slope,step1_LeftHand_angvel_magnitude_35_pause_1.25_durations_min,step2_RightHand_angacc_y_7_pause_1.25_durations_var,step3_LeftHand_linacc_z_13_pause_0.75_durations_skewness,step4_LeftHand_angvel_magnitude_7_pause_1_durations_skewness,step5_Head_linvel_y_21_pause_0.5_durations_slope,step6_LeftHand_angacc_z_7_pause_1_time_to_min_duration,step7_RightHand_angvel_magnitude_13_pause_0.75_durations_skewness,step8_Head_linvel_magnitude_7_pause_0.5_durations_mean,,step10_RightHand_angacc_magnitude_35_pause_0.75_durations_kurtosis,step11_Head_angacc_z_51_pause_1.25_durations_kurtosis,substep36_Head_angvel_z_201_pause_0.75_durations_kurtosis
15,step0_Head_linvel_y_201_pause_1.25_durations_slope,step1_LeftHand_angvel_x_51_pause_1.25_durations_iqr,step2_RightHand_angvel_magnitude_7_pause_1.25_durations_mean,step3_LeftHand_linvel_y_35_pause_0.5_time_to_min_duration,step4_LeftHand_angvel_y_531_pause_1_durations_skewness,step5_Head_linvel_y_51_pause_1.25_durations_sum,step6_LeftHand_angvel_x_51_pause_1_durations_skewness,step7_RightHand_angvel_magnitude_531_pause_1.25_time_to_min_duration,step8_LeftHand_angacc_z_13_pause_0.5_time_to_max_duration,,step10_RightHand_angacc_magnitude_531_pause_1.25_durations_slope,step11_Head_angacc_z_51_pause_1.25_durations_skewness,substep36_Head_angvel_z_201_pause_1.25_durations_coeff_of_var
16,step0_Head_linvel_y_35_pause_1.25_durations_iqr,step1_LeftHand_angvel_x_51_pause_1.25_durations_slope,step2_RightHand_linacc_y_13_pause_1.25_durations_slope,step3_LeftHand_linvel_y_7_pause_0.75_time_to_min_duration,step4_LeftHand_linacc_x_35_pause_0.75_durations_coeff_of_var,step5_Head_linvel_y_7_pause_0.5_durations_min,step6_LeftHand_angvel_y_531_pause_1.25_durations_var,step7_RightHand_angvel_z_531_pause_0.5_durations_mean,step8_LeftHand_angvel_x_201_pause_0.5_durations_slope,,step10_RightHand_linacc_magnitude_51_pause_1.25_durations_mean,step11_Head_angacc_z_51_pause_1_durations_skewness,substep36_Head_angvel_z_531_pause_0.5_durations_coeff_of_var
17,step0_Head_linvel_y_35_pause_1.25_durations_var,step1_LeftHand_linacc_x_7_pause_0.75_duration_frequency,step2_RightHand_linacc_z_13_pause_0.5_duration_frequency,step3_LeftHand_linvel_z_201_pause_0.75_durations_coeff_of_var,step4_LeftHand_linacc_x_35_pause_1_durations_range,step5_Head_linvel_z_201_pause_1_durations_skewness,step6_LeftHand_angvel_z_201_pause_1_durations_kurtosis,step7_RightHand_angvel_z_531_pause_0.5_durations_min,step8_LeftHand_linacc_magnitude_201_pause_1_durations_coeff_of_var,,step10_RightHand_linvel_z_201_pause_1.25_durations_mean,step11_Head_angvel_magnitude_13_pause_1.25_durations_kurtosis,substep36_Head_angvel_z_531_pause_1.25_durations_iqr
18,step0_Head_linvel_z_51_pause_0.5_durations_kurtosis,step1_LeftHand_linacc_y_35_pause_1.25_durations_median,step2_RightHand_linacc_z_13_pause_1.25_durations_slope,step3_RightHand_angvel_magnitude_201_pause_1_durations_kurtosis,step4_LeftHand_linvel_y_201_pause_0.75_durations_iqr,step5_LeftHand_angacc_magnitude_201_pause_0.75_time_to_min_duration,step6_LeftHand_linacc_magnitude_35_pause_0.75_durations_skewness,step7_RightHand_angvel_z_531_pause_0.75_durations_median,step8_LeftHand_linvel_magnitude_51_pause_1_durations_kurtosis,,step10_RightHand_linvel_z_201_pause_1.25_durations_min,step11_Head_angvel_magnitude_21_pause_1.25_durations_kurtosis,substep36_Head_linacc_magnitude_51_pause_0.75_durations_kurtosis
19,step0_Head_linvel_z_51_pause_1.25_durations_median,step1_LeftHand_linacc_z_51_pause_1.25_durations_coeff_of_var,step2_RightHand_linacc_z_531_pause_0.5_durations_coeff_of_var,step3_RightHand_angvel_y_13_pause_1.25_time_to_min_duration,step4_RightHand_angacc_magnitude_13_pause_0.75_durations_std,step5_LeftHand_angacc_magnitude_201_pause_1.25_time_to_min_duration,step6_LeftHand_linacc_y_35_pause_0.5_durations_kurtosis,step7_RightHand_linvel_magnitude_21_pause_0.5_durations_slope,step8_LeftHand_linvel_z_531_pause_0.75_durations_iqr,,,step11_Head_angvel_magnitude_35_pause_1.25_durations_kurtosis,substep36_Head_linacc_magnitude_51_pause_0.75_durations_skewness
20,step0_Head_linvel_z_51_pause_1.25_durations_slope,step1_LeftHand_linvel_x_531_pause_1.25_durations_kurtosis,step2_RightHand_linacc_z_531_pause_1.25_durations_coeff_of_var,step3_RightHand_angvel_y_13_pause_1_time_to_min_duration,step4_RightHand_angacc_x_13_pause_0.5_duration_frequency,step5_LeftHand_angacc_magnitude_51_pause_0.75_durations_sum,step6_LeftHand_linacc_y_531_pause_0.5_durations_coeff_of_var,step7_RightHand_linvel_magnitude_21_pause_0.75_durations_iqr,step8_RightHand_angacc_y_21_pause_0.5_durations_mean,,,step11_Head_angvel_y_21_pause_0.75_durations_kurtosis,substep36_Head_linacc_magnitude_51_pause_1_durations_kurtosis
21,step0_Head_linvel_z_7_pause_1_durations_min,step1_LeftHand_linvel_y_531_pause_0.75_time_to_min_duration,step2_RightHand_linacc_z_7_pause_1.25_durations_iqr,step3_RightHand_linacc_x_35_pause_1_time_to_min_duration,step4_RightHand_angacc_y_35_pause_0.5_durations_mean,step5_LeftHand_angacc_magnitude_531_pause_1_durations_slope,step6_LeftHand_linacc_z_531_pause_0.5_durations_coeff_of_var,,step8_RightHand_angacc_y_35_pause_0.75_durations_kurtosis,,,step11_Head_angvel_z_201_pause_0.5_durations_iqr,substep36_Head_linacc_x_531_pause_0.5_durations_iqr
22,step0_LeftHand_angacc_magnitude_201_pause_1_durations_std,step1_RightHand_angacc_magnitude_51_pause_0.75_durations_slope,step2_RightHand_linacc_z_7_pause_1.25_durations_slope,step3_RightHand_linacc_x_531_pause_1.25_durations_kurtosis,step4_RightHand_angacc_z_21_pause_0.75_durations_range,step5_LeftHand_angacc_y_201_pause_1.25_time_to_min_duration,step6_LeftHand_linacc_z_531_pause_0.5_durations_range,,step8_RightHand_angacc_y_51_pause_0.5_durations_min,,,step11_Head_angvel_z_531_pause_0.5_durations_iqr,substep36_Head_linacc_y_201_pause_0.75_time_to_max_duration
